         2230284 function calls (2108466 primitive calls) in 2.838 seconds

   Ordered by: cumulative time
   List reduced from 1113 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
73632/73530    0.022    0.000    0.022    0.000 {built-in method builtins.isinstance}
     2631    0.022    0.000    0.144    0.000 _nanfunctions_impl.py:954(nanmean)
      654    0.020    0.000    0.159    0.000 einsumfunc.py:1057(einsum)
      654    0.020    0.000    0.211    0.000 sii_runner.py:308(_baseline_mahalanobis_distances)
   140081    0.019    0.000    0.019    0.000 {built-in method builtins.id}
     1308    0.017    0.000    0.214    0.000 sii_runner.py:277(_covariance_matrix)
     1875    0.017    0.000    0.112    0.000 _function_base_impl.py:415(average)
        6    0.016    0.003    0.016    0.003 {method 'commit' of 'sqlite3.Connection' objects}
      654    0.015    0.000    0.023    0.000 numeric.py:968(tensordot)
     3205    0.014    0.000    0.020    0.000 {built-in method builtins.sorted}
    37329    0.013    0.000    0.013    0.000 {built-in method builtins.getattr}
    19891    0.013    0.000    0.013    0.000 {built-in method builtins.max}
    14724    0.013    0.000    0.063    0.000 {method 'clip' of 'numpy.ndarray' objects}
     2160    0.013    0.000    0.059    0.000 sii_runner.py:331(_matrix_completeness)
    13756    0.013    0.000    0.052    0.000 common.py:41(finite_number)
    50178    0.013    0.000    0.013    0.000 {built-in method builtins.issubclass}
      942    0.013    0.000    0.019    0.000 function_base.py:25(linspace)
        6    0.012    0.002    0.012    0.002 behavioral_evolution.py:540(_kendall_concordance)
     9789    0.012    0.000    0.018    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      720    0.012    0.000    0.133    0.000 sii_runner.py:261(_windowed_history)
        3    0.011    0.004    2.031    0.677 sii_runner.py:430(run_sii_runner)
    23331    0.011    0.000    0.011    0.000 {built-in method builtins.hasattr}
    43801    0.011    0.000    0.011    0.000 {method 'replace' of 'str' objects}
