         2574082 function calls (2435380 primitive calls) in 5.005 seconds

   Ordered by: cumulative time
   List reduced from 1132 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10893    0.069    0.000    0.076    0.000 _methods.py:76(_count_reduce_items)
    13500    0.067    0.000    0.183    0.000 fromnumeric.py:41(_wrapit)
      654    0.065    0.000    0.090    0.000 _linalg.py:1639(svd)
      654    0.065    0.000    0.250    0.000 einsumfunc.py:742(einsum_path)
     4791    0.065    0.000    0.084    0.000 _nanfunctions_impl.py:70(_replace_nan)
     1794    0.063    0.000    0.107    0.000 _methods.py:151(_var)
     1440    0.061    0.000    0.168    0.000 sii_runner.py:306(_nanmean_columns)
     1437    0.056    0.000    0.187    0.000 shape_base.py:220(vstack)
     4071    0.054    0.000    0.093    0.000 _nanfunctions_impl.py:204(_divide_by_count)
    18477    0.053    0.000    0.053    0.000 {built-in method numpy.array}
    18918    0.053    0.000    0.301    0.000 fromnumeric.py:51(_wrapfunc)
     9777    0.052    0.000    0.097    0.000 _type_check_impl.py:363(_getmaxmin)
   131140    0.052    0.000    0.052    0.000 {method 'append' of 'list' objects}
    17574    0.051    0.000    0.345    0.000 fromnumeric.py:2241(clip)
     1875    0.050    0.000    0.071    0.000 _stride_tricks_impl.py:340(_broadcast_to)
      720    0.048    0.000    0.148    0.000 _nanfunctions_impl.py:1715(nanvar)
     1308    0.046    0.000    0.539    0.000 sii_runner.py:283(_regularized_covariance_matrix)
      654    0.041    0.000    0.178    0.000 _linalg.py:2128(pinv)
     1875    0.041    0.000    0.226    0.000 _function_base_impl.py:415(average)
     7224    0.040    0.000    0.261    0.000 fromnumeric.py:3735(mean)
     2631    0.039    0.000    0.258    0.000 _nanfunctions_impl.py:954(nanmean)
    86106    0.038    0.000    0.038    0.000 {built-in method numpy.asanyarray}
     9777    0.038    0.000    0.038    0.000 _ufunclike_impl.py:140(isneginf)
78339/78189    0.037    0.000    0.040    0.000 {built-in method builtins.isinstance}
    12390    0.037    0.000    0.214    0.000 fromnumeric.py:2338(sum)
      654    0.037    0.000    0.430    0.001 sii_runner.py:293(_baseline_mahalanobis_distances)
     1419    0.034    0.000    0.053    0.000 function_base.py:25(linspace)
     1308    0.033    0.000    0.403    0.000 sii_runner.py:276(_covariance_matrix)
      654    0.031    0.000    0.339    0.001 einsumfunc.py:1057(einsum)
   152953    0.030    0.000    0.030    0.000 {built-in method builtins.id}
      654    0.030    0.000    0.097    0.000 einsumfunc.py:327(_greedy_path)
7374/7371    0.028    0.000    0.082    0.000 {built-in method builtins.sum}
    26478    0.027    0.000    0.027    0.000 {built-in method builtins.max}
    17211    0.026    0.000    0.033    0.000 temporal_math.py:296(<genexpr>)
    14724    0.025    0.000    0.103    0.000 {method 'clip' of 'numpy.ndarray' objects}
    13812    0.025    0.000    0.093    0.000 common.py:41(finite_number)
      654    0.024    0.000    0.036    0.000 numeric.py:968(tensordot)
     4578    0.022    0.000    0.030    0.000 einsumfunc.py:87(_find_contraction)
    50220    0.022    0.000    0.022    0.000 {built-in method builtins.issubclass}
        6    0.022    0.004    0.022    0.004 {method 'commit' of 'sqlite3.Connection' objects}
    37482    0.021    0.000    0.021    0.000 {built-in method builtins.getattr}
        3    0.020    0.007    3.496    1.165 sii_runner.py:414(run_sii_runner)
     9795    0.020    0.000    0.029    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      720    0.020    0.000    0.071    0.000 sii_runner.py:618(parse_timestamp)
     1308    0.019    0.000    0.025    0.000 _twodim_base_impl.py:163(eye)
